Trial;Fold;Accuracy
1;1;80.51
1;2;78.81
1;3;83.9
1;4;75.42
1;5;81.36
1;6;79.66
1;7;73.73
1;8;81.36
1;9;79.49
1;10;76.92
2;1;76.27
2;2;81.36
2;3;75.42
2;4;85.59
2;5;80.51
2;6;71.19
2;7;81.36
2;8;78.81
2;9;79.49
2;10;81.2
3;1;78.81
3;2;74.58
3;3;88.98
3;4;81.36
3;5;71.19
3;6;80.51
3;7;75.42
3;8;81.36
3;9;80.34
3;10;79.49
4;1;78.81
4;2;76.27
4;3;84.75
4;4;76.27
4;5;77.97
4;6;76.27
4;7;77.97
4;8;79.66
4;9;78.63
4;10;81.2
5;1;81.36
5;2;77.97
5;3;83.05
5;4;77.97
5;5;85.59
5;6;77.97
5;7;74.58
5;8;78.81
5;9;76.92
5;10;76.07
6;1;77.12
6;2;78.81
6;3;74.58
6;4;77.12
6;5;79.66
6;6;77.12
6;7;75.42
6;8;80.51
6;9;82.91
6;10;79.49
7;1;83.9
7;2;74.58
7;3;79.66
7;4;75.42
7;5;79.66
7;6;82.2
7;7;77.12
7;8;83.05
7;9;79.49
7;10;76.07
8;1;71.19
8;2;79.66
8;3;83.05
8;4;79.66
8;5;71.19
8;6;81.36
8;7;81.36
8;8;81.36
8;9;79.49
8;10;75.21
9;1;77.12
9;2;77.97
9;3;74.58
9;4;83.9
9;5;77.12
9;6;82.2
9;7;76.27
9;8;80.51
9;9;77.78
9;10;78.63
10;1;77.97
10;2;74.58
10;3;83.9
10;4;77.97
10;5;85.59
10;6;77.12
10;7;79.66
10;8;78.81
10;9;86.32
10;10;70.94
