Trial;Fold;Accuracy
1;1;71.0
1;2;72.0
1;3;76.0
1;4;72.0
1;5;83.0
1;6;75.0
1;7;73.0
1;8;72.0
1;9;72.0
1;10;76.0
2;1;78.0
2;2;78.0
2;3;74.0
2;4;78.0
2;5;68.0
2;6;81.0
2;7;73.0
2;8;83.0
2;9;70.0
2;10;77.0
3;1;71.0
3;2;73.0
3;3;77.0
3;4;77.0
3;5;73.0
3;6;77.0
3;7;75.0
3;8;74.0
3;9;77.0
3;10;75.0
4;1;76.0
4;2;74.0
4;3;74.0
4;4;66.0
4;5;84.0
4;6;77.0
4;7;76.0
4;8;74.0
4;9;76.0
4;10;76.0
5;1;77.0
5;2;77.0
5;3;73.0
5;4;75.0
5;5;68.0
5;6;70.0
5;7;74.0
5;8;79.0
5;9;81.0
5;10;76.0
6;1;78.0
6;2;81.0
6;3;75.0
6;4;72.0
6;5;70.0
6;6;75.0
6;7;80.0
6;8;74.0
6;9;81.0
6;10;69.0
7;1;74.0
7;2;74.0
7;3;79.0
7;4;75.0
7;5;72.0
7;6;74.0
7;7;74.0
7;8;72.0
7;9;78.0
7;10;69.0
8;1;75.0
8;2;75.0
8;3;66.0
8;4;74.0
8;5;72.0
8;6;75.0
8;7;74.0
8;8;78.0
8;9;86.0
8;10;73.0
9;1;73.0
9;2;66.0
9;3;80.0
9;4;71.0
9;5;78.0
9;6;75.0
9;7;72.0
9;8;79.0
9;9;73.0
9;10;73.0
10;1;81.0
10;2;79.0
10;3;77.0
10;4;75.0
10;5;80.0
10;6;63.0
10;7;78.0
10;8;73.0
10;9;72.0
10;10;69.0
