Trial;Fold;Accuracy
1;1;55.56
1;2;44.44
1;3;77.78
1;4;50.0
1;5;50.0
1;6;75.0
1;7;37.5
1;8;75.0
1;9;37.5
1;10;50.0
2;1;44.44
2;2;33.33
2;3;66.67
2;4;25.0
2;5;62.5
2;6;50.0
2;7;50.0
2;8;62.5
2;9;50.0
2;10;75.0
3;1;77.78
3;2;55.56
3;3;44.44
3;4;50.0
3;5;50.0
3;6;62.5
3;7;50.0
3;8;62.5
3;9;50.0
3;10;75.0
4;1;77.78
4;2;77.78
4;3;44.44
4;4;50.0
4;5;62.5
4;6;25.0
4;7;62.5
4;8;62.5
4;9;50.0
4;10;25.0
5;1;44.44
5;2;66.67
5;3;77.78
5;4;50.0
5;5;50.0
5;6;37.5
5;7;25.0
5;8;62.5
5;9;62.5
5;10;87.5
6;1;44.44
6;2;55.56
6;3;88.89
6;4;50.0
6;5;62.5
6;6;37.5
6;7;62.5
6;8;50.0
6;9;62.5
6;10;50.0
7;1;33.33
7;2;44.44
7;3;44.44
7;4;50.0
7;5;50.0
7;6;62.5
7;7;50.0
7;8;87.5
7;9;62.5
7;10;25.0
8;1;44.44
8;2;66.67
8;3;77.78
8;4;62.5
8;5;50.0
8;6;25.0
8;7;50.0
8;8;62.5
8;9;62.5
8;10;25.0
9;1;55.56
9;2;66.67
9;3;55.56
9;4;75.0
9;5;37.5
9;6;62.5
9;7;87.5
9;8;62.5
9;9;50.0
9;10;75.0
10;1;66.67
10;2;77.78
10;3;66.67
10;4;37.5
10;5;25.0
10;6;62.5
10;7;62.5
10;8;75.0
10;9;50.0
10;10;50.0
