Trial;Fold;Accuracy
1;1;86.96
1;2;95.45
1;3;86.36
1;4;86.36
1;5;86.36
1;6;95.45
1;7;86.36
1;8;86.36
1;9;90.91
1;10;90.91
2;1;95.65
2;2;100.0
2;3;90.91
2;4;86.36
2;5;95.45
2;6;86.36
2;7;86.36
2;8;95.45
2;9;77.27
2;10;95.45
3;1;91.3
3;2;95.45
3;3;90.91
3;4;90.91
3;5;90.91
3;6;90.91
3;7;90.91
3;8;95.45
3;9;90.91
3;10;86.36
4;1;95.65
4;2;90.91
4;3;86.36
4;4;90.91
4;5;95.45
4;6;90.91
4;7;86.36
4;8;72.73
4;9;95.45
4;10;95.45
5;1;86.96
5;2;90.91
5;3;81.82
5;4;81.82
5;5;95.45
5;6;95.45
5;7;95.45
5;8;90.91
5;9;90.91
5;10;90.91
6;1;86.96
6;2;86.36
6;3;95.45
6;4;90.91
6;5;86.36
6;6;90.91
6;7;95.45
6;8;90.91
6;9;95.45
6;10;100.0
7;1;86.96
7;2;90.91
7;3;95.45
7;4;95.45
7;5;86.36
7;6;95.45
7;7;95.45
7;8;90.91
7;9;86.36
7;10;81.82
8;1;86.96
8;2;90.91
8;3;95.45
8;4;86.36
8;5;95.45
8;6;95.45
8;7;100.0
8;8;81.82
8;9;90.91
8;10;95.45
9;1;91.3
9;2;90.91
9;3;77.27
9;4;90.91
9;5;90.91
9;6;90.91
9;7;90.91
9;8;90.91
9;9;90.91
9;10;90.91
10;1;95.65
10;2;90.91
10;3;86.36
10;4;81.82
10;5;86.36
10;6;86.36
10;7;100.0
10;8;90.91
10;9;90.91
10;10;95.45
