Trial;Fold;Accuracy
1;1;78.1
1;2;77.13
1;3;77.86
1;4;76.89
1;5;78.83
1;6;79.56
1;7;77.62
1;8;79.08
1;9;76.64
1;10;73.72
2;1;76.64
2;2;75.43
2;3;77.62
2;4;77.13
2;5;76.64
2;6;76.89
2;7;73.97
2;8;75.43
2;9;80.05
2;10;76.16
3;1;76.64
3;2;75.18
3;3;78.83
3;4;78.59
3;5;78.1
3;6;73.72
3;7;76.64
3;8;76.64
3;9;77.86
3;10;76.64
4;1;78.1
4;2;77.62
4;3;75.91
4;4;77.13
4;5;80.54
4;6;76.4
4;7;77.86
4;8;75.67
4;9;77.37
4;10;77.62
5;1;78.1
5;2;77.86
5;3;73.97
5;4;75.91
5;5;77.62
5;6;81.51
5;7;78.35
5;8;72.51
5;9;75.67
5;10;78.83
6;1;77.37
6;2;81.02
6;3;81.27
6;4;74.7
6;5;75.67
6;6;81.51
6;7;77.62
6;8;78.59
6;9;78.59
6;10;78.59
7;1;80.78
7;2;78.83
7;3;76.89
7;4;78.59
7;5;76.4
7;6;80.05
7;7;75.43
7;8;76.4
7;9;79.08
7;10;78.1
8;1;81.27
8;2;78.35
8;3;76.16
8;4;75.67
8;5;76.4
8;6;78.59
8;7;75.43
8;8;79.32
8;9;78.1
8;10;77.62
9;1;77.37
9;2;78.35
9;3;76.64
9;4;77.86
9;5;75.91
9;6;78.35
9;7;79.81
9;8;73.24
9;9;74.94
9;10;78.35
10;1;74.7
10;2;75.91
10;3;75.91
10;4;78.1
10;5;79.81
10;6;74.7
10;7;81.51
10;8;81.02
10;9;76.16
10;10;76.89
