Trial;Fold;Accuracy
1;1;65.71
1;2;62.86
1;3;68.57
1;4;60.0
1;5;57.14
1;6;68.57
1;7;51.43
1;8;74.29
1;9;65.71
1;10;67.65
2;1;71.43
2;2;54.29
2;3;74.29
2;4;62.86
2;5;65.71
2;6;77.14
2;7;57.14
2;8;60.0
2;9;68.57
2;10;61.76
3;1;77.14
3;2;65.71
3;3;62.86
3;4;68.57
3;5;57.14
3;6;65.71
3;7;54.29
3;8;65.71
3;9;65.71
3;10;67.65
4;1;57.14
4;2;68.57
4;3;77.14
4;4;65.71
4;5;57.14
4;6;60.0
4;7;60.0
4;8;65.71
4;9;62.86
4;10;70.59
5;1;71.43
5;2;62.86
5;3;65.71
5;4;88.57
5;5;60.0
5;6;74.29
5;7;65.71
5;8;62.86
5;9;62.86
5;10;44.12
6;1;80.0
6;2;71.43
6;3;60.0
6;4;60.0
6;5;57.14
6;6;74.29
6;7;74.29
6;8;62.86
6;9;65.71
6;10;73.53
7;1;62.86
7;2;74.29
7;3;65.71
7;4;74.29
7;5;57.14
7;6;62.86
7;7;60.0
7;8;62.86
7;9;60.0
7;10;70.59
8;1;62.86
8;2;77.14
8;3;62.86
8;4;65.71
8;5;54.29
8;6;77.14
8;7;51.43
8;8;65.71
8;9;65.71
8;10;76.47
9;1;62.86
9;2;60.0
9;3;62.86
9;4;74.29
9;5;65.71
9;6;57.14
9;7;71.43
9;8;74.29
9;9;65.71
9;10;58.82
10;1;65.71
10;2;68.57
10;3;62.86
10;4;71.43
10;5;68.57
10;6;65.71
10;7;68.57
10;8;68.57
10;9;60.0
10;10;70.59
